,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
316,39E682,36000.0,52.38959,6.61743,2025-05-24T14:42:44.095071741+02:00,-34.54562200916348,zi-5110,,,,23.405441733968658
369,39E682,36000.0,52.379,6.60482,2025-05-24T14:42:50.100862664+02:00,-37.107950630558946,zi-5110,,,,23.20789683435897
486,39E682,36000.0,52.35888,6.58089,2025-05-24T14:43:01.242911397+02:00,-40.80624952136621,zi-5110,,,,23.081792982739934
460,39E682,36000.0,52.36247,6.58521,2025-05-24T14:42:59.169176444+02:00,-39.79384374498146,zi-5110,,,,23.07722544647988
389,486493,29400.0,52.16331,7.17033,2025-05-24T14:42:51.630699385+02:00,-38.45776904605882,zi-5110,,,,22.888914395211216
412,486493,29375.0,52.1649,7.16599,2025-05-24T14:42:53.489281064+02:00,-38.19162211794624,zi-5110,,,,22.54857294734831
420,486493,29350.0,52.16592,7.16347,2025-05-24T14:42:54.57786108+02:00,-35.2036929880943,zi-5110,,,,22.34708776544738
437,486493,29300.0,52.16788,7.15853,2025-05-24T14:42:56.547358082+02:00,-26.04419321077157,zi-5110,,,,21.953958233688027
456,486493,29250.0,52.16993,7.15375,2025-05-24T14:42:58.731702742+02:00,-28.161143442694225,zi-5110,,,,21.567749741146624
480,486493,29225.0,52.17201,7.14905,2025-05-24T14:43:00.806445185+02:00,-37.68753109451454,zi-5110,,,,21.185913939670794
492,486493,29200.0,52.17305,7.14684,2025-05-24T14:43:01.897328627+02:00,-30.674908312821415,zi-5110,,,,21.004129512842464
