,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
236,4D2359,37000.0,52.4484,7.06641,2025-05-24 14:42:34.594115365+02:00,-64.01445149339327,zi-5110,,,,27.250532741238644
224,4D2359,37000.0,52.44822,7.06256,2025-05-24 14:42:33.606932699+02:00,-68.72117577573887,zi-5110,,,,27.098406619272506
217,4D2359,37000.0,52.44808,7.05974,2025-05-24 14:42:32.733384015+02:00,-48.85488716597347,zi-5110,,,,26.987271327113824
210,4D2359,37000.0,52.44786,7.05559,2025-05-24 14:42:31.642166546+02:00,-48.01249837281955,zi-5110,,,,26.82404311397687
200,4D2359,37000.0,52.44766,7.05173,2025-05-24 14:42:30.548300781+02:00,-36.062445840513924,zi-5110,,,,26.674465192384492
191,4D2359,37000.0,52.44747,7.04828,2025-05-24 14:42:29.459356114+02:00,-45.97771199179011,zi-5110,,,,26.541177738114005
182,4D2359,37000.0,52.44731,7.04475,2025-05-24 14:42:28.476731410+02:00,-50.52276714511983,zi-5110,,,,26.409625698249823
172,4D2359,37000.0,52.44713,7.04124,2025-05-24 14:42:27.493130576+02:00,-71.1997191005695,zi-5110,,,,26.278300805967284
1,39E682,36000.0,52.4512,6.6909,2025-05-24 14:42:09.691679469+02:00,-96.64703823708206,zi-5067,,,,26.18386995293188
0,39E682,36000.0,52.4512,6.6909,2025-05-24 14:42:09.688653068+02:00,-51.621216568383964,zi-5110,,,,26.18386995293188
163,4D2359,37000.0,52.44695,7.03781,2025-05-24 14:42:26.507109874+02:00,-78.8311486659937,zi-5110,,,,26.15104311213577
7,39E682,36000.0,52.44924,6.68856,2025-05-24 14:42:10.888415607+02:00,-56.86299323813336,zi-5110,,,,26.057577351074265
8,39E682,36000.0,52.44924,6.68856,2025-05-24 14:42:10.890836519+02:00,-162.64593447116962,zi-5067,,,,26.057577351074265
154,4D2359,37000.0,52.44676,7.03468,2025-05-24 14:42:25.633376795+02:00,-68.44231147470109,zi-5110,,,,26.033666817627296
14,39E682,36000.0,52.44743,6.68644,2025-05-24 14:42:11.870526479+02:00,-67.74953874381728,zi-5110,,,,25.941651798604095
15,39E682,36000.0,52.44743,6.68644,2025-05-24 14:42:11.874151441+02:00,-181.06725269910072,zi-5067,,,,25.941651798604095
148,4D2359,37000.0,52.44664,7.03149,2025-05-24 14:42:24.651281717+02:00,-63.07138812488592,zi-5110,,,,25.922594061958755
17,39E682,36000.0,52.44653,6.68533,2025-05-24 14:42:12.309428182+02:00,-29.66057989992778,zi-5110,,,,25.886417941274985
23,39E682,36000.0,52.44566,6.68424,2025-05-24 14:42:12.855873756+02:00,-71.50349641800742,zi-5110,,,,25.83401968107254
24,39E682,36000.0,52.44566,6.68424,2025-05-24 14:42:12.858109367+02:00,-163.86427310429812,zi-5067,,,,25.83401968107254
137,4D2359,37000.0,52.44645,7.02803,2025-05-24 14:42:23.666628314+02:00,-73.29972714819613,zi-5110,,,,25.797697713894625
33,39E682,36000.0,52.44384,6.68212,2025-05-24 14:42:13.837021326+02:00,-79.68374991176056,zi-5110,,,,25.720871546467787
34,39E682,36000.0,52.44384,6.68212,2025-05-24 14:42:13.840866658+02:00,-101.59921259537398,zi-5067,,,,25.720871546467787
132,4D2359,37000.0,52.44631,7.0256,2025-05-24 14:42:23.120976772+02:00,-30.923292192132458,zi-5110,,,,25.710259447980743
37,39E682,36000.0,52.44314,6.68126,2025-05-24 14:42:14.273955737+02:00,-29.27114620236112,zi-5110,,,,25.679278587629472
127,4D2359,37000.0,52.44622,7.02419,2025-05-24 14:42:22.685934864+02:00,-100.29830507042479,zi-5110,,,,25.659003299012927
44,39E682,36000.0,52.44207,6.68,2025-05-24 14:42:14.822202369+02:00,-140.9686135279765,zi-5067,,,,25.614536074357424
41,39E682,36000.0,52.44207,6.68,2025-05-24 14:42:14.819933278+02:00,-63.313505668222156,zi-5110,,,,25.614536074357424
48,39E682,36000.0,52.44118,6.67892,2025-05-24 14:42:15.259981163+02:00,-39.53669181911911,zi-5110,,,,25.562235083716633
114,4D2359,37000.0,52.44603,7.02073,2025-05-24 14:42:21.593342203+02:00,-91.32934906151472,zi-5110,,,,25.53741907520093
52,39E682,36000.0,52.44044,6.67809,2025-05-24 14:42:15.696628903+02:00,-89.9791642548429,zi-5110,,,,25.51690870521757
54,39E682,36000.0,52.44044,6.67809,2025-05-24 14:42:15.699903805+02:00,-169.60704584421015,zi-5067,,,,25.51690870521757
58,39E682,36000.0,52.43939,6.67679,2025-05-24 14:42:16.242454396+02:00,-36.5191730464971,zi-5110,,,,25.45714521214033
101,4D2359,37000.0,52.44589,7.01759,2025-05-24 14:42:20.717791016+02:00,-82.35897036753191,zi-5110,,,,25.431731476840095
62,39E682,36000.0,52.43849,6.67569,2025-05-24 14:42:16.787036695+02:00,-86.48207906844053,zi-5110,,,,25.40600732497483
63,39E682,36000.0,52.43849,6.67569,2025-05-24 14:42:16.790954988+02:00,-203.33642074158774,zi-5067,,,,25.40600732497483
69,39E682,36000.0,52.43761,6.67465,2025-05-24 14:42:17.331713605+02:00,-42.75920953432137,zi-5110,,,,25.355315579080504
92,4D2359,37000.0,52.44571,7.01408,2025-05-24 14:42:19.629627508+02:00,-75.57777451076473,zi-5110,,,,25.312834269291535
76,39E682,36000.0,52.43672,6.67357,2025-05-24 14:42:17.880809777+02:00,-209.28162843403143,zi-5067,,,,25.305479468372344
75,39E682,36000.0,52.43672,6.67357,2025-05-24 14:42:17.878337125+02:00,-81.78416717189214,zi-5110,,,,25.305479468372344
79,39E682,36000.0,52.43582,6.67252,2025-05-24 14:42:18.317997658+02:00,-38.42460149435515,zi-5110,,,,25.25416744236981
84,4D2359,37000.0,52.44553,7.01096,2025-05-24 14:42:18.861048570+02:00,-69.40425059029167,zi-5110,,,,25.206558047845526
86,39E682,36000.0,52.4349,6.67145,2025-05-24 14:42:18.865499372+02:00,-176.95041678391152,zi-5067,,,,25.202114226643758
85,39E682,36000.0,52.4349,6.67145,2025-05-24 14:42:18.861444120+02:00,-74.81477126878087,zi-5110,,,,25.202114226643758
91,39E682,36000.0,52.43383,6.67019,2025-05-24 14:42:19.410983142+02:00,-35.88523373199623,zi-5110,,,,25.142764369253776
73,4D2359,37000.0,52.44534,7.00745,2025-05-24 14:42:17.770480298+02:00,-82.83749151199594,zi-5110,,,,25.08988826652609
94,39E682,36000.0,52.43276,6.66886,2025-05-24 14:42:19.956665113+02:00,-91.64987725032697,zi-5110,,,,25.086568696831602
95,39E682,36000.0,52.43276,6.66886,2025-05-24 14:42:19.960695515+02:00,-165.55950591856694,zi-5067,,,,25.086568696831602
106,39E682,36000.0,52.43095,6.66674,2025-05-24 14:42:20.943690186+02:00,-282.6598662703993,zi-5067,,,,24.98867152069761
105,39E682,36000.0,52.43095,6.66674,2025-05-24 14:42:20.940021704+02:00,-103.10649834030829,zi-5110,,,,24.98867152069761
59,4D2359,37000.0,52.44515,7.00363,2025-05-24 14:42:16.676009197+02:00,-108.17555176656137,zi-5110,,,,24.96661466188064
113,39E682,36000.0,52.43025,6.66588,2025-05-24 14:42:21.485661826+02:00,-97.1995370359345,zi-5067,,,,24.95279329778232
120,39E682,36000.0,52.42955,6.66501,2025-05-24 14:42:21.817865072+02:00,-220.7152011076718,zi-5067,,,,24.917602120026938
119,39E682,36000.0,52.42955,6.66501,2025-05-24 14:42:21.813530099+02:00,-94.60708218732887,zi-5110,,,,24.917602120026938
126,39E682,36000.0,52.42848,6.66376,2025-05-24 14:42:22.470358710+02:00,-92.50837799896829,zi-5067,,,,24.861577165748262
49,4D2359,37000.0,52.44496,6.99978,2025-05-24 14:42:15.586361354+02:00,-94.7417542586161,zi-5110,,,,24.844666935930064
131,39E682,36000.0,52.42736,6.6625,2025-05-24 14:42:23.016532629+02:00,-169.73479313328778,zi-5067,,,,24.801961960727134
130,39E682,36000.0,52.42736,6.6625,2025-05-24 14:42:23.012667696+02:00,-76.6498532288223,zi-5110,,,,24.801961960727134
