,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
229,39E682,36000.0,52.40767,6.63896,2025-05-24T14:42:34.049741788+02:00,-69.82549677589125,zi-5067,,,,23.945117606222386
398,48AD0B,18000.0,52.25694,6.05692,2025-05-24T14:42:52.181203277+02:00,-72.84607058723209,zi-5067,,,,54.57257391890171
47,48AD0B,16975.0,52.2588,5.9449,2025-05-24T14:42:15.154229995+02:00,-72.89855965655289,zi-5067,,,,62.19980442226627
104,4D2228,35000.0,52.39293,6.36147,2025-05-24T14:42:20.939688414+02:00,-73.64679219083476,zi-5067,,,,37.84312302099032
201,39E682,36000.0,52.4134,6.64579,2025-05-24T14:42:30.880611989+02:00,-73.78516110980581,zi-5067,,,,24.166972472095786
382,48AD0B,17975.0,52.25697,6.05385,2025-05-24T14:42:51.196326046+02:00,-75.42579134487089,zi-5067,,,,54.781535849944454
78,48AD0B,17050.0,52.25862,5.95337,2025-05-24T14:42:18.101766476+02:00,-75.49337719296972,zi-5067,,,,61.622980126644656
68,48AD0B,17025.0,52.25867,5.95093,2025-05-24T14:42:17.119757743+02:00,-76.43330425933449,zi-5067,,,,61.78914336361996
123,48AD0B,17175.0,52.25842,5.9662,2025-05-24T14:42:22.252652882+02:00,-76.66648550703235,zi-5067,,,,60.74946302433921
87,484BD1,17400.0,52.34193,6.26419,2025-05-24T14:42:18.977192873+02:00,-78.76642685814814,zi-5067,,,,41.97729252258962
425,48AD0B,18050.0,52.25679,6.06606,2025-05-24T14:42:55.236945413+02:00,-81.73738434767778,zi-5067,,,,53.950242794310455
285,48AD0B,17675.0,52.25754,6.02043,2025-05-24T14:42:40.163442717+02:00,-82.48272546418431,zi-5067,,,,57.05711945524317
277,4D2228,35000.0,52.39503,6.42479,2025-05-24T14:42:39.183549165+02:00,-82.77590229046132,zi-5067,,,,34.17745189668161
312,486265,6000.0,52.12612,6.79041,2025-05-24T14:42:43.661556649+02:00,-82.79130389116963,zi-5067,,,,13.37087600491049
239,4D2228,35000.0,52.39459,6.41084,2025-05-24T14:42:35.142552007+02:00,-84.02945912000148,zi-5067,,,,34.973616459216046
317,48AD0B,17775.0,52.25734,6.03195,2025-05-24T14:42:44.097719823+02:00,-84.07496654771859,zi-5067,,,,56.27270814881526
442,48AD0B,18100.0,52.2567,6.07224,2025-05-24T14:42:57.205419042+02:00,-84.19619943916709,zi-5067,,,,53.52949323560042
