,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
83,471EFA,38000.0,51.76083,6.04118,2025-05-24T13:18:33.238176173+02:00,-101.86240719715983,zi-5067,,,,77.16071428592649
2,486071,21575.0,51.8604,6.05049,2025-05-24T13:18:28.981187783+02:00,-116.92112726107288,zi-5067,,,,69.43607212487221
60,486071,21650.0,51.85643,6.05785,2025-05-24T13:18:31.926822793+02:00,-65.51068615119216,zi-5067,,,,69.30849944000089
78,486071,21675.0,51.85519,6.06018,2025-05-24T13:18:32.802378973+02:00,-94.62055801991445,zi-5067,,,,69.2682381750622
93,486071,21725.0,51.85379,6.0627,2025-05-24T13:18:33.788072044+02:00,-99.51984726676383,zi-5067,,,,69.22946051433402
45,781949,35000.0,52.22281,5.87015,2025-05-24T13:18:30.947040277+02:00,-75.56090258857421,zi-5067,,,,67.30084025494337
86,4D0285,43000.0,52.5369,6.69185,2025-05-24T13:18:33.456158374+02:00,-123.57973134782256,zi-5067,,,,34.99141889561611
67,4D0285,43000.0,52.53493,6.69113,2025-05-24T13:18:32.473051398+02:00,-176.52478579508318,zi-5067,,,,34.800072838917266
36,4D0285,43000.0,52.53145,6.68981,2025-05-24T13:18:30.508202513+02:00,-102.26216309075416,zi-5067,,,,34.4641211178828
12,4D0285,43000.0,52.52953,6.68907,2025-05-24T13:18:29.524965367+02:00,-72.28381561594546,zi-5067,,,,34.27959725494182
47,34660B,34000.0,52.35049,6.60995,2025-05-24T13:18:31.054574869+02:00,-119.08211452606979,zi-5067,,,,20.93450951941427
24,34660B,34000.0,52.35214,6.61217,2025-05-24T13:18:29.96433759+02:00,-92.70113267916417,zi-5067,,,,20.922599174262338
0,34660B,34000.0,52.35393,6.61453,2025-05-24T13:18:28.871779367+02:00,-72.79354366975137,zi-5067,,,,20.915337260685583
1,010244,24050.0,52.22225,6.94838,2025-05-24T13:18:28.872334037+02:00,-100.9571691362233,zi-5067,,,,6.430959891135569
98,484BAE,1250.0,52.25395,6.87759,2025-05-24T13:18:34.222768654+02:00,-176.81346102602032,zi-5067,,,,2.131248749084996
76,484BAE,1275.0,52.25391,6.87691,2025-05-24T13:18:32.69458691+02:00,-162.198489512079,zi-5067,,,,2.0990736978156375
62,484BAE,1275.0,52.25391,6.87668,2025-05-24T13:18:32.149505696+02:00,-178.52142728535418,zi-5067,,,,2.089506520555549
55,484BAE,1275.0,52.25386,6.87642,2025-05-24T13:18:31.708321001+02:00,-197.17327405102344,zi-5067,,,,2.0743494657456116
32,484BAE,1275.0,52.25372,6.87571,2025-05-24T13:18:30.180552119+02:00,-333.0885017529125,zi-5067,,,,2.0329359198781436
5,484BAE,1275.0,52.25359,6.87523,2025-05-24T13:18:29.088002886+02:00,-270.1499583564654,zi-5067,,,,2.0019954468508243
